,Name,Address
79,DEPT/CONSERVATION & RECREATION,20 SOMERSET ST BOSTON MA
80,DEPT/CONSERVATION & RECREATION,20 SOMERSET ST BOSTON MA
81,DEPT/CONSERVATION & RECREATION,20 SOMERSET ST BOSTON MA
82,DEPT/CONSERVATION & RECREATION,20 SOMERSET ST BOSTON MA
83,DEPT/CONSERVATION & RECREATION,20 SOMERSET ST BOSTON MA
84,DEPT/CONSERVATION & RECREATION,20 SOMERSET ST BOSTON MA
85,DEPT/CONSERVATION & RECREATION,20 SOMERSET ST BOSTON MA
86,DEPT/CONSERVATION & RECREATION,20 SOMERSET ST BOSTON MA
87,DEPT/CONSERVATION & RECREATION,20 SOMERSET ST BOSTON MA
88,DEPT/CONSERVATION & RECREATION,20 SOMERSET ST BOSTON MA
89,DEPT/CONSERVATION & RECREATION,20 SOMERSET ST BOSTON MA
90,DEPT/CONSERVATION & RECREATION,20 SOMERSET ST BOSTON MA
91,DEPT/CONSERVATION & RECREATION,20 SOMERSET ST BOSTON MA
92,METROPOLITIAN DIST COMM,20 SOMERSET STREET BOSTON MA
93,DEPT/CONSERVATION & RECREATION,20 SOMMERSET BOSTON MA
94,DEPT/CONSERVATION & RECREATION,20 SOMMERSET BOSTON MA
95,DEPT/CONSERVATION & RECREATION,20 SOMMERSET BOSTON MA
96,DEPT/CONSERVATION & RECREATION,20 SOMMERSET BOSTON MA
97,DEPT/CONSERVATION & RECREATION,20 SOMMERSET BOSTON MA
98,DEPT/CONSERVATION & RECREATION,20 SOMMERSET BOSTON MA
99,DEPT/CONSERVATION & RECREATION,20 SOMMERSET BOSTON MA
100,ABINGTON TOWN OF,200 PARK AV ABINGTON MA
101,THEOSOPHICAL SOCIETY,21 MAPLE STREET ARLINGTON MA
102,CHURCH OF OUR SAVIOR CHURCH,21 MARATHON STREET ARLINGTON MA
103,CORNERSTONE BAPTIST CHURCH,2114 MASS AVE CAMBRIDGE MA
104,THE BOSTON CHURCH OF CHRIST,214 CONCORD AVE FRAMINGHAM MA
105,NORTH ABINGTON BAPTIST CORP,219 ADAMS ST ABINGTON MA
106,NORTH ABINGTON BAPTIST CORP,219 ADAMS ST ABINGTON MA
107,ARLINGTON FRIENDS OF THE,22 ACADEMY STREET ARLINGTON MA
108,SOUTH SHORE REDEVELOPMENT AUTHORITY,223 SHEA MEMORIAL DR S. WEYMOUTH MA
109,SOUTH SHORE REDEVELOPMENT CORPORATION,223 SHEA MEMORIAL DR WEYMOUTH MA
110,KELWYN MANOR ASSOCIATION IN,23 SHERATON PK ARLINGTON MA
111,GOOD NEWS CHAPEL,235 WEST ST ATTLEBORO MA
112,ROMAN CATHOLIC ARCH OF BOS,24 MEDFORD ST ARLINGTON MA
113,ROMAN CATHOLIC ARCH OF BOS,24 MEDFORD ST ARLINGTON MA
114,ROMAN CATHOLIC ARCH OF BOS,24 MEDFORD ST ARLINGTON MA
115,ROMAN CATHOLIC ARCH OF BOS,24 MEDFORD ST ARLINGTON MA
116,ROMAN CATHOLIC ARCH OF BOS,24 MEDFORD ST ARLINGTON MA
117,ROMAN CATHOLIC ARCH OF BOS,24 MEDFORD STREET ARLINGTON MA
118,AMESBURY IMPROVE ASSOC,24 OAK ST. APT#8 AMESBURY MA
119,AMESBURY IMPROVE ASSOC,24 OAK ST. APT#8 AMESBURY MA
120,AMESBURY IMPROVE ASSOC,24 OAK ST. APT#8 AMESBURY MA
121,AMESBURY IMPROVE ASSOC,24 OAK ST. APT#8 AMESBURY MA
122,AMESBURY IMPROVE ASSOC,24 OAK ST. APT#8 AMESBURY MA
123,AMESBURY IMPROVE ASSOC,24 OAK ST. APT#8 AMESBURY MA
124,AMESBURY IMPROVE ASSOC,24 OAK ST. APT#8 AMESBURY MA
125,CARITAS COMMUNITIES  INC.,25 BRAINTREE HILL OFFICE PK STE 206 BRAINTREE MA
126,ORDER OF SAINT ANNE,25 HILLSIDE AVE ARLINGTON MA
127,ORDER OF SAINT ANNE,25 HILLSIDE AVE ARLINGTON MA
128,ORDER OF SAINT ANNE,25 HILLSIDE AVE ARLINGTON MA
129,COMMONWEALTH OF MASSACHUSETTS,251 CAUSEWAY ST BOSTON MA
130,COMMONWEALTH OF MASSACHUSETTS,251 CAUSEWAY ST SUITE 600 BOSTON MA
131,"NFI MASSACHUSETTS, INC",26 HOWLEY ST. 2ND FLOOR PEABODY MA
132,"NFI MASSACHUSETTS, INC",26 HOWLEY ST. 2ND FLOOR PEABODY MA
133,AMESBURY CITY OF,26 NEWTON RD RR AMESBURY MA
134,AMESBURY HOUSING AUTHORITY,26 SUMMER ST AMESBURY MA
135,AMESBURY HOUSING AUTHORITY,26 SUMMER ST AMESBURY MA
136,AMESBURY HOUSING AUTHORITY,26 SUMMER ST AMESBURY MA
137,SULLIVAN CHESTER C TRE,27 HENRY J DRIVE TEWKSBURY MA
138,TOWN OF ARLINGTON,27 MAPLE STREET ARLINGTON MA
139,HOUSING SUPPORT INC,29 GREEN ST NEWBURYPORT MA
140,COMMUNITY ALTERNATIVE RES ENV,291 MYSTIC AVE MEDFORD MA
141,BROADWAL  INC.,291 MYSTIC AVE MEDFORD MA
142,CALVARY METHODIST EPISCOPAL,300 MASS AVE ARLINGTON MA
143,CALVARY METH EPIS CHURCH,300 MASS AVE ARLINGTON MA
144,AMEGO INC,33 PERRY AVE ATTLEBORO MA
145,SNECOF ASSOC 7TH DAY ADVE,34 SAWYER ST SO LANCASTER MA
146,ABINGTON TOWN OF,350 SUMMER ST ABINGTON MA
147,UNION CONGREGATIONAL CHURCH,352 MAIN ST AMESBURY MA
148,UNION CONGREGATIONAL CHURCH,352 MAIN ST AMESBURY MA
149,UNION CONGREGATIONAL CHURCH,352 MAIN STREET AMESBURY MA
150,MARKET STREET BAPTIST CHURCH,37 MARKET ST AMESBURY MA
151,MARKET STREET BAPTIST CHURCH,37 MARKET STREET AMESBURY MA
152,ARLINGTON POST NO 39,370 MASS AVE ARLINGTON MA
153,PROTESTANT EPISCOPAL DIOCES,38 MARATHON ST ARLINGTON MA
154,CANDLEBERRY CHAPEL INC,381 SO MAIN ST ATTLEBORO MA
155,THE GREEK ORTHODOX CHURCH,4 APPLETON PL ARLINGTON MA
156,SALISBURY POINT CEMETERY ASSOC,4 BUTTONWOOD RD AMESBURY MA
157,SALISBURY POINT CEMETERY ASSOC,4 BUTTONWOOD RD AMESBURY MA
158,SALISBURY POINT CEMETERY ASSOC,4 BUTTONWOOD RD AMESBURY MA
159,SALISBURY POINT CEMETERY ASSOC,4 BUTTONWOOD RD AMESBURY MA
160,BARTLETT CEMETERY,4 LAKEVIEW AVE AMESBURY MA
161,ARLINGTON HOUSING AUTHORITY,4 WINSLOW ST ARLINGTON MA
162,ARLINGTON HOUSING AUTHORITY,4 WINSLOW ST ARLINGTON MA
163,ARLINGTON HOUSING AUTHORITY,4 WINSLOW STREET ARLINGTON MA
164,ARLINGTON HOUSING AUTHORITY,4 WINSLOW STREET ARLINGTON MA
165,SALVATION ARMY OF MASS INC,402 MASS AVE CAMBRIDGE MA
166,ARMENIAN CULTURAL,441 MYSTIC ST ARLINGTON MA
167,ROMAN CATHOLIC ARCHBISHOP OF B,455 PLYMOUTH STREET ABINGTON MA
168,ROMAN CATHOLIC ARCHBISHOP OF B,455 PLYMOUTH STREET ABINGTON MA
169,LOWELL'S MARITIME FOUNDATION INC,459 MAIN ST AMESBURY MA
170,LOWELL'S MARITIME FOUNDATION INC,459 MAIN ST AMESBURY MA
171,LOWELL'S MARITIME FOUNDATION INC,459 MAIN ST AMESBURY MA
172,BRIDGEWELL INCORPORATED,471 BROADWAY LYNNFIELD MA
173,ROBERTS ROGER/CYNTHIA,5 FIFTH ST AMESBURY MA
174,PARK AVENUE,50 PAUL REVERE RD ARLINGTON MA
175,PARK AVE CONGREGATIONAL CHU,50 PAUL REVERE RD ARLINGTON MA
176,MASS BAY TRANSIT AUTHORITY,500 ARBORWAY JAMAICA PLAIN MA
177,MASS BAY TRANSIT AUTHORITY,500 ARBORWAY JAMAICA PLAIN MA
178,MASS BAY TRANSIT AUTHORITY,500 ARBORWAY JAMAICA PLAIN MA
179,ABINGTON TOWN OF,500 GLINIEIWCZ WAY ABINGTON MA
180,ABINGTON TOWN OF,500 GLINIEWCIZ WAY ABINGTON MA
181,ABINGTON TOWN OF,500 GLINIEWICZ  WAY ABINGTON MA
182,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
183,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
184,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
185,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
186,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
187,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
188,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
189,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
190,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
191,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
192,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
193,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
194,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
195,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
196,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
197,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
198,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
199,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
200,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
201,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
202,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
203,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
204,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
205,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
206,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
207,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
208,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
209,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
210,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
211,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
212,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
213,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
214,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
215,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
216,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
217,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
218,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
219,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
220,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
221,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
222,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
223,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
224,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
225,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
226,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
227,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
228,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
229,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
230,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
231,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
232,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
233,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
234,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
235,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
236,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
237,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
238,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
239,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
240,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
241,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
242,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
243,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
244,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
245,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
246,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
247,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
248,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
249,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
250,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
251,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
252,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
253,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
254,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
255,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
256,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
257,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
258,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
259,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
260,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
261,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
262,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
263,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
264,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
265,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
266,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
267,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
268,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
269,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
270,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
271,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
272,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
273,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
274,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
275,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
276,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
277,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
278,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
279,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
280,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
281,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
282,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
283,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
284,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
285,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
286,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
287,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
288,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
289,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
290,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
291,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
292,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
293,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
294,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
295,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
296,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
297,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
298,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
299,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
300,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
301,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
302,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
303,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
304,ABINGTON TOWN OF,500 GLINIEWICZ WAY ABINGTON MA
